realdate,returns
17206,1.55%
17209,0.24%
17210,2.57%
17211,1.77%
17212,0.00%
17213,-0.50%
17217,-1.67%
17218,-1.70%
17219,2.15%
17220,1.28%
17223,1.13%
17224,-6.16%
17225,-1.84%
17226,-1.42%
17227,-0.40%
17230,-1.94%
17231,2.75%
17232,0.20%
17233,1.93%
17234,-0.24%
17237,0.92%
17238,-1.40%
17239,-3.42%
17240,6.01%
17241,0.14%
17244,1.86%
17245,0.93%
17246,1.02%
17247,1.37%
17248,1.18%
17251,-0.89%
17252,0.90%
17253,-0.80%
17254,2.07%
17255,0.00%
17258,-0.35%
17259,2.66%
17260,-0.69%
17261,0.70%
17266,1.90%
17267,-1.27%
17268,-0.60%
17269,-0.60%
17272,2.43%
17273,-0.17%
17274,-2.63%
17275,-1.13%
17276,1.50%
17289,0.17%
17290,-1.30%
17291,1.67%
17292,-1.04%
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
